Record ID,Date,Time,First Response Time (seconds),Call Handle Time (minutes),First Call Resolution (FCR) (Yes/No),Quality of Recent Support (Rating),Average Wait Time (seconds),Customer Satisfaction & Recommendations (Rating),Agent ID/Name,Customer Retention (Yes/No),Fully Burdened Cost per call,Revenue per Call ($),Customer ID,Customer Inquiry Topic,Product Discussed,Customer Revenue ($),Second_Time_Resolution,Repeat
1,10/30/2023,14:19:56,79,44.98,No,2,171,4,Agent 2,Yes,131.4,338.95,Cust6602,Return & Refund,Smartphone,8440.78,,No
2,11/3/2023,16:46:56,119,31.38,No,5,169,1,Agent 50,Yes,136.96,203.26,Cust2362,Product Feedback,Speaker,3239.86,11/05/2023 21:45:02,No
3,10/29/2023,22:27:56,87,24.61,No,3,166,2,Agent 48,No,82.38,244.08,Cust7801,Warranty Claim,Tablet,319.41,10/31/2023 22:16:57,Yes
4,11/13/2023,18:38:56,13,29.27,Yes,4,147,5,Agent 16,No,147.35,316.5,Cust2790,Data Security,Speaker,8677.27,,No
5,10/23/2023,16:21:56,111,48.49,No,2,212,3,Agent 19,No,86.62,289.17,Cust2433,Warranty Claim,Printer,1304.0,,No
6,10/30/2023,19:15:56,88,4.23,No,5,232,5,Agent 39,Yes,197.39,225.39,Cust7689,Warranty Claim,Speaker,9887.85,,No
7,11/2/2023,12:28:56,56,27.45,No,1,291,1,Agent 37,Yes,22.26,388.83,Cust3552,Data Security,Tablet,8316.47,11/02/2023 16:12:34,Yes
8,10/17/2023,13:07:56,41,9.1,Yes,2,16,2,Agent 6,No,199.66,46.1,Cust6843,Data Security,Printer,9129.79,,No
9,10/26/2023,4:15:56,118,4.36,No,5,97,3,Agent 42,No,157.46,383.34,Cust1118,Warranty Claim,Headphones,9458.31,,No
10,11/9/2023,3:24:56,51,53.11,Yes,1,214,4,Agent 43,No,177.79,330.69,Cust9264,Product Feedback,Charger,1778.38,,No
11,11/2/2023,6:28:56,93,18.59,Yes,3,222,1,Agent 2,No,110.4,69.22,Cust1374,Promotions & Offers,Speaker,6833.42,11/03/2023 03:19:15,Yes
12,10/17/2023,4:45:56,62,19.47,Yes,4,38,1,Agent 17,No,128.52,317.77,Cust8318,Shipping Status,Speaker,8817.41,,No
13,11/13/2023,9:47:56,49,2.79,Yes,4,47,4,Agent 20,Yes,35.6,417.29,Cust9741,Return & Refund,Smartwatch,6932.88,,No
14,11/8/2023,10:55:56,55,53.49,Yes,3,58,4,Agent 3,Yes,155.24,264.78,Cust5885,Account Management,Camera,185.92,,No
15,10/31/2023,12:28:56,89,41.43,No,2,120,1,Agent 35,No,181.2,329.32,Cust7864,Product Feedback,Speaker,9970.07,,No
16,10/27/2023,7:44:56,8,42.56,Yes,3,92,2,Agent 11,Yes,47.44,26.73,Cust5222,Product Feedback,Speaker,2902.61,,No
17,11/11/2023,2:58:56,73,49.73,No,2,168,3,Agent 6,No,53.37,72.91,Cust9662,Product Setup,Smartwatch,4921.66,11/14/2023 13:53:54,No
18,10/24/2023,7:59:56,58,10.53,No,4,246,5,Agent 27,No,45.77,454.21,Cust8495,Product Feedback,Laptop,2747.41,10/31/2023 11:31:14,No
19,11/15/2023,3:41:56,118,31.36,No,4,133,2,Agent 6,No,168.41,181.05,Cust4539,Return & Refund,Camera,8419.32,11/15/2023 06:33:38,Yes
20,11/5/2023,21:00:56,86,51.15,No,3,145,3,Agent 14,No,136.89,242.51,Cust2124,Data Security,Smartphone,2690.7,11/07/2023 20:54:56,Yes
21,11/13/2023,3:42:56,86,1.36,No,3,221,4,Agent 46,No,66.63,335.92,Cust7282,Billing Inquiry,Headphones,2167.97,,No
